@lat	@lon	name	addr:street	addr:housenumber	addr:postcode	addr:city	cuisine	website
47.3726012	8.5273865	Yu-An	Werdstrasse	66	8004	Zürich	japanese	https://www.yu-an.ch/
47.3722450	8.5289743	Ristorante Bar Certo	Strassburgstrasse	5	8004	Zürich	italian	https://certo.ch/
47.3732235	8.5237696	Köchlistube	Köchlistrasse	6	8004	Zürich	regional	
47.3716325	8.5363568	Kaufleuten Restaurant	Pelikanplatz		8001	Zürich		https://kaufleuten.ch/restaurant
47.3818740	8.5338089	Uncle 7	Konradstrasse	68	8005	Zürich	chinese;cantonese	https://chinarestaurantuncle7.business.site/
47.3819982	8.5336329	Vulkan	Klingenstrasse	33	8005	Zürich	indian	https://www.restaurant-vulkan.ch
47.3777467	8.5244364	Restaurant B	Hohlstrasse	67	8004	Zürich	bistro_brasserie	http://www.baeckeranlage.ch/restaurant.htm
47.3840928	8.5108387	Eglihof					italian;pizza	https://eglihof.restaurant/
47.3848593	8.5084472	Santa Lucia Subito					italian;pizza	https://www.bindella.ch/gastronomie/santa-lucia-hohlstrasse-subito
47.3865398	8.5414596	Pizzeria Corallo					italian;pizza	
47.3861132	8.5452851	Kreis 6	Scheuchzerstrasse	65				http://restaurantkreis6.ch
47.3830272	8.5396636	Chuchi am Wasser				Zürich	cake;coffee_shop	https://www.dynamo.ch/restaurant-bar
47.3789264	8.5444684	Pizza Pasta Ciao	Weinbergstrasse	26	8001	Zürich	italian	
47.4242466	8.5251723	Restaurant Waidhof					swiss	https://www.restaurant-waidhof.ch/
47.3715334	8.5457722	zum Grünen Glas	Untere Zäune	15				https://www.gruenesglas.ch/
47.3727200	8.5438402	Piadina Bar	Niederdorfstrasse	2	8001	Zürich		https://www.piadina-bar-margherita.ch/
47.3708573	8.5432024	Haus zum Rüden	Limmatquai	42	8001	Zürich		https://www.haus-zum-rueden.ch/
47.3708655	8.5438060	Mère Catherine	Nägelihof	3	8001	Zürich	french	https://www.mere-catherine.ch/
47.3710439	8.5243290	Arcade Pizzeria					pizza	https://arcadepizzeria.ch/
47.3764199	8.5441261	Weinstube 1923	Limmatquai	142	8001	Zürich		https://weinstube1923.ch/
47.3760133	8.5441095	La Pasta						
47.3758260	8.5441268	Da Raffaele	Niederdorfstrasse	74	8001	Zürich		
47.3756656	8.5441177	N-68	Niederdorfstrasse	68	8001	Zürich		https://www.n68.ch/
47.3754161	8.5440085	Rank	Niederdorfstrasse	60	8001	Zürich		https://amrank.ch/
47.3753537	8.5439974	Rank						
47.3748977	8.5437335	Tasca Romero	Niederdorfstrasse	37				
47.3746589	8.5437374	Osteria Borgo						
47.3736974	8.5436412	Steakhouse Old Town	Niederdorfstrasse	19			steak_house	
47.3734874	8.5436348	Vallocaia	Niederdorfstrasse	15	8001	Zürich	italian	https://www.bindella.ch/de/vallocaia.html
47.3730001	8.5438598	Brasserie Louis	Niederdorfstrasse	10	8001	Zürich		https://brasserie-louis.ch/
47.3729061	8.5436598	Spaghetti Factory	Niederdorfstrasse	5	8001	Zürich	pasta	https://www.bindella.ch/de/spaghetti-factory-rosenhof.html
47.3729877	8.5436586	Trattoria Sempre	Niederdorfstrasse	7	8001	Zürich	italian	https://www.bindella.ch/gastronomie/trattoria-sempre
47.3723807	8.5439299	Raclette Factory						https://www.raclette-factory.ch/
47.3721304	8.5437352	Rheinfelder Bierhaus	Marktgasse	19	8001	Zürich	regional	http://restaurant-rheinfelderbierhaus.ch/
47.3713520	8.5446469	Restaurant Schlauch	Obere Zäune	17				https://cafeschlauch.ch/
47.3712211	8.5441611	Bodega Española	Münstergasse	15			spanish	
47.3405767	8.5381016	Wöschi						https://www.woeschi.ch/
47.4190936	8.5473401	Nationalhof					lebanese	
47.4195084	8.5439267	Blue Pizza Sunneberg	Bahnhaldenstrasse	32				http://www.bluepizza.ch
47.3584830	8.5229939	Vapiano	Kalanderplatz	9	8045	Zürich	italian	
47.3585224	8.5233652	Hong-Kong Food Paradise	Kalanderplatz	10	8045	Zürich	chinese	http://hongkongfoodparadise.ch/store_locator/sihlcity-2/
47.3886695	8.5191166	LaSalle	Schiffbaustrasse	4	8005	Zürich	regional	https://www.lasalle-restaurant.ch
47.3786937	8.5065553	Paprika	Brahmsstrasse	22	8003	Zürich		
47.4085258	8.5464126	Sternen	Schaffhauserstrasse	335	8050	Zürich		
47.3708935	8.5233527	Restaurant Bahnhof Wiedikon	Seebahnstrasse	33	8003	Zürich	regional;swiss	https://restaurant-bahnhofwiedikon.ch/
47.4077482	8.5078578	Fusion meal & coffee						
47.3821979	8.5317241	LA Brea SoCal Tacos	Josefstrasse		8005	Zürich	tacos;mexican	https://de.la-brea.ch
47.3826240	8.5312467	Spicy Box	Josefstrasse	77			indian	
